origin_apk	original_path	target_path	density	purpose	source_sha256	target_sha256	byte_status
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_29.png	res/drawable-xxhdpi/face_successed_29.png	drawable-xxhdpi	faceid_frames	1d3c3a802ae70a2d61424ee370eb463c127431456a312a7e002a3bbfe50b0df2	1d3c3a802ae70a2d61424ee370eb463c127431456a312a7e002a3bbfe50b0df2	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_30.png	res/drawable-xxhdpi/face_successed_30.png	drawable-xxhdpi	faceid_frames	1857e8dbfef21bfa450482a9da34f6078455eb7f3d7bf4b7326f24df7bececeb	1857e8dbfef21bfa450482a9da34f6078455eb7f3d7bf4b7326f24df7bececeb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_31.png	res/drawable-xxhdpi/face_successed_31.png	drawable-xxhdpi	faceid_frames	e942ceda965a0c8d396c1fe887521a4a990e257ccdd88dac72cdecdcaa40882f	e942ceda965a0c8d396c1fe887521a4a990e257ccdd88dac72cdecdcaa40882f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_32.png	res/drawable-xxhdpi/face_successed_32.png	drawable-xxhdpi	faceid_frames	7410cc5342d55c893ac75ae5c05cdd0f1ad8ae58e100f29eab5158f74d78441c	7410cc5342d55c893ac75ae5c05cdd0f1ad8ae58e100f29eab5158f74d78441c	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_33.png	res/drawable-xxhdpi/face_successed_33.png	drawable-xxhdpi	faceid_frames	bdc8c6f5532595a31b67293024fe5e310a1a21d62a78b2d9f09619152418bfdb	bdc8c6f5532595a31b67293024fe5e310a1a21d62a78b2d9f09619152418bfdb	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_34.png	res/drawable-xxhdpi/face_successed_34.png	drawable-xxhdpi	faceid_frames	e74a6ecb4b807a16a63d815153394fad69660b241e9cb25c6f1a8bcbc70e66df	e74a6ecb4b807a16a63d815153394fad69660b241e9cb25c6f1a8bcbc70e66df	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_35.png	res/drawable-xxhdpi/face_successed_35.png	drawable-xxhdpi	faceid_frames	2484b4cbb7e5734c8c7ca8b8ec0f1308f808bd84147bfa4008d24532283ac7c1	2484b4cbb7e5734c8c7ca8b8ec0f1308f808bd84147bfa4008d24532283ac7c1	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_36.png	res/drawable-xxhdpi/face_successed_36.png	drawable-xxhdpi	faceid_frames	482f266c838ecab043a1c232634781fb828dcbe8dc19fe65fff194f052c49de5	482f266c838ecab043a1c232634781fb828dcbe8dc19fe65fff194f052c49de5	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_37.png	res/drawable-xxhdpi/face_successed_37.png	drawable-xxhdpi	faceid_frames	2a16b952e890f5b66a9bde37b5c01b8dc41059d86ef4205387bb08922bfdbc8f	2a16b952e890f5b66a9bde37b5c01b8dc41059d86ef4205387bb08922bfdbc8f	exact
KeyguardSmartisan.apk	res/drawable-xxhdpi/face_successed_38.png	res/drawable-xxhdpi/face_successed_38.png	drawable-xxhdpi	faceid_frames	4dfb8f0b044f6520e75586eb7c7fdae29f95a7ea953a40a7e547b015ba627f51	4dfb8f0b044f6520e75586eb7c7fdae29f95a7ea953a40a7e547b015ba627f51	exact
